"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The #du30 administration has pretty much fucked the state of MNL &amp; the country. Could've translated this aggression towards terrorism.",FALSE,0,NA,2017-08-21 13:56:45,FALSE,NA,"899631360763023360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","squiddartha",0,FALSE,FALSE,NA,NA
"2","He is really brilliant. #DU30",FALSE,0,NA,2017-08-21 13:42:53,FALSE,NA,"899627870619746304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ryanbalolot",0,FALSE,FALSE,NA,NA
"3","READ:

Open Letter to PRRD

By a Davaoeno 

#STOP
#WarOnDrugs
#Du30 https://t.co/2Yk9AmICbY",FALSE,0,NA,2017-08-21 13:39:44,FALSE,NA,"899627077149880320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjosesbb",0,FALSE,FALSE,NA,NA
"4","Kian's parents should come out w/ a video saying they're supporters of #Du30 war on drugs &amp; how that war victimized &amp; failed to protect them",FALSE,0,NA,2017-08-21 08:48:54,FALSE,NA,"899553889652846592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xtian36",0,FALSE,FALSE,NA,NA
"5","However in the context of the #Du30 admin. it doesn't apply concerning the war on drugs.",FALSE,0,"franzjpm",2017-08-21 08:14:01,FALSE,"899541993184821248","899545107426181120","263017867","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","franzjpm",0,FALSE,FALSE,NA,NA
"6","What can you say? #DU30 #itsallaboutconnection #bringthembacktosociety https://t.co/AAO9Kl8IRT",FALSE,0,NA,2017-08-21 06:54:41,FALSE,NA,"899525146175602689",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","iamSassySeven",0,FALSE,FALSE,NA,NA
"7","I liked a @YouTube video https://t.co/NS3x9kxQsD WATCH: Ang paboritong Karinderya ni Mayor Rodrigo Duterte sa Davao City #du30",FALSE,0,NA,2017-08-21 06:45:50,FALSE,NA,"899522916588695552",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","fizzyteehee",0,FALSE,FALSE,NA,NA
"8","#LifeIsHere

#Kadayawan #kadayawan2017 #DavaoCity #Davao #Du30 @ Davao City https://t.co/lepbaAcaYJ",FALSE,0,NA,2017-08-21 06:43:22,FALSE,NA,"899522295894466560",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","pLongLao",0,FALSE,FALSE,"125.613","7.07306"
"9","#KianDelosSantos #DU30
https://t.co/qKWTdMG8nM",FALSE,0,NA,2017-08-21 05:44:58,FALSE,NA,"899507598080081920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ritchiemarmol",0,FALSE,FALSE,NA,NA
"10","#KianDelosSantos  #DU30
Duterte won't tolerate police abuse, Palace assures public | News | GMA News Online https://t.co/xr8EA7rH2S",FALSE,0,NA,2017-08-21 05:39:40,FALSE,NA,"899506267923689472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ritchiemarmol",0,FALSE,FALSE,NA,NA
"11","Ang tagal nanahimik ni REAL Marian Rivera sa FAKE account na ito pero ibang usapan na talaga kapag ginagamit na lanâ€¦ https://t.co/v9BqyTuIeJ",FALSE,0,NA,2017-08-21 05:17:24,TRUE,NA,"899500663096446977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b3llab3lle",1,FALSE,FALSE,NA,NA
"12","RT @DonahbelleS: All for you Mayor. #DuterteTillTheEnd #DU30 #pagbabago https://t.co/WkK7niUBKi",FALSE,0,NA,2017-08-21 04:55:45,FALSE,NA,"899495213948907520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sockcedere1972",2,TRUE,FALSE,NA,NA
"13","#Philippines Economy Will Continue Growing Strongly Finance Minister https://t.co/lT3sRfoq0A #Philippines #Pesoâ€¦ https://t.co/xLag1IkWtV",FALSE,0,NA,2017-08-21 03:20:01,TRUE,NA,"899471123162771456",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ArgentumWM",0,FALSE,FALSE,NA,NA
"14","VP Recount!!! IMPEACH LENI nd BAUTISTA #AyawSaDilaw #AbolishCongress #ProtectFiscalDarwin #DU30 #BBM",FALSE,0,NA,2017-08-21 02:41:24,FALSE,NA,"899461403018317824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ladyreen_maui",0,FALSE,FALSE,NA,NA
"15","IMPEACH LENI nd BAUTISTA!! #AyawSaDilaw #ProtectFiscalDarwin #AbolishCongress #RevGov #DU30 #BBM",FALSE,0,NA,2017-08-21 02:31:42,FALSE,NA,"899458963921444865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ladyreen_maui",0,FALSE,FALSE,NA,NA
"16","Can't say this isn't relevant rn with how LP reacted with that minor's death. #du30 https://t.co/q8yg26jHRb",FALSE,0,NA,2017-08-21 01:38:02,FALSE,NA,"899445456790364161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eldzgineer",0,FALSE,FALSE,NA,NA
"17","@superstarmarian UR Q is answerable with multiple videos of #DU30 explaining how it works! There's a condition setâ€¦ https://t.co/tz47v0gPil",FALSE,0,"superstarmarian",2017-08-21 01:18:23,TRUE,"898717080354078720","899440510208679936","160804409","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sh3yladthn",0,FALSE,FALSE,NA,NA
"18","10 Countries That Ended Their War On Drugs - https://t.co/zeap7jsxHU - #PHL Govt and #DU30 should take heed and quit being myopic.",FALSE,0,NA,2017-08-21 01:13:34,FALSE,NA,"899439301099794432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jelansangan",0,FALSE,FALSE,NA,NA
"19","@tr1pnautic @ianabrhm @skypenzomiguel #DU30 í ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í±Ší ½í¸œí ½í¸œí ½í¸œí ½í¸œí ½í¸œí ½í¸œí ½í¸œ https://t.co/effLfTQOxF",FALSE,0,"tr1pnautic",2017-08-20 23:41:23,FALSE,"899414321301602304","899416102190686209","36992632","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Buenabonita",0,FALSE,FALSE,NA,NA
"20","Carpooling = Colorum #TheBestAndTheBrightest #DU30 #ForeverThirdWorld #ItsMoreFunInThePhilippines #LTFRB https://t.co/IYqju0uYRg",FALSE,2,NA,2017-08-20 22:53:13,FALSE,NA,"899403979565572096",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","shank_m",0,FALSE,FALSE,NA,NA
"21","SPOT THE DIFF. #DU30 #PRRD #DEATHTODRUGLORDS #YELLOWEPALS #YELLOWS https://t.co/ZIfuSA8M7I",FALSE,0,NA,2017-08-20 22:23:37,FALSE,NA,"899396528984526848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jerrison",0,FALSE,FALSE,NA,NA
"22","STOP THE DRUG TRADES, OR SIMPLY EXTERMINATED. #DU30 #PRRD #DEATHTODRUGLORS #YELLOWEPALS #YELLOWS https://t.co/GXoDgX7QsO",FALSE,0,NA,2017-08-20 22:14:07,FALSE,NA,"899394137765621760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jerrison",0,FALSE,FALSE,NA,NA
"23","RT @phkule: A mother holds photos of his slain 16-yr. old so who was accused and killed in #DU30's war-on-drugs. #SONAngBAYAN #StopTheKilliâ€¦",FALSE,0,NA,2017-08-20 20:45:53,FALSE,NA,"899371937125629952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ann_karina",70,TRUE,FALSE,NA,NA
"24","Nung eleksyon, puro #DU30 kase matapang kase ipagtatanggol tyo. Ngayon? Yung""SUPERHERO"" na ang kinatatakutan natenâ€¦ https://t.co/kpS55zDLWA",FALSE,0,NA,2017-08-20 19:22:01,TRUE,NA,"899350830091911168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mariaazenall",0,FALSE,FALSE,NA,NA
"25","So if you guys want #Du30 out, can someone tell me what happens next? #reklamonangrekkamo #yellows",FALSE,0,NA,2017-08-20 15:55:44,FALSE,NA,"899298914884501506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","manang_gloria",0,FALSE,FALSE,NA,NA
